,Unnamed: 0,Passages,Force,Explicit_Lack_Of_Consent,Threat,Authority,Minor_Injury,Threat_Other,count,Minor,Silent,Severe_Injury,Not_Conscious,clean
810,810,"  I am only 15.I snuck out the house to smoke and drink with my friends. They introduced me to a soundcloud rapper who was 19. I don’t want to expose his name so I’ll call him Luke. I was only 14 and was the youngest person there that night. We were all drunk and I start to notice that Luke kept on looking at me. He then pulls out ecstasy pills out of his pocket and we all just said “fuck it, let’s do this.” I was a little scared because I have never taken pills like this before. It was about 5am already and I still haven’t gotten home. We were all sitting at the skatepark and Luke told me to sit next to him so I did. I began to feel his hands touch my thighs and my butt. I knew exactly what he was trying to do and I stood up to let him know that I didn’t want to do what he wanted. 
I remember feeling really so cold and wanted to hug him for some reason so I did. The two of us went outside the building and we were hugging for a while. He whispered into my ear that I was really pretty and awesome. I liked hearing that and I didn’t want to stop hugging him. I felt him get hard and he started to push my body closer to him to make sure I felt it. He then whispered to me that we should get out of there to go somewhere else private. 

  I was really dizzy and I could barely walk. My friends were used to taking pills but this was my first time so I was the only one fucked up. Luke had his arm around me while we were all walking to the park. He asked me questions like, “do you have any siblings?” and “what are your plans later today?” I felt like he really liked me and he was much more mature than any other guys I’ve dated. We went behind a small sitting area and he encourage me to give him a blow job. I’m 100% sure that it was the drugs because I remember feeling so horny and I’ve never really had that feeling before. I didn’t care that my other friends saw ...I just wanted him. We left my friends and he took me to an indoor parking lot. We went behind the stairs and he made me turn around and started to fuck me. I remember it hurting so much. I didn’t expect for my first time to feel like this ... it was horrible.

",1,1,,,,,,1,,,1,i am onli i snuck out the hous to smoke and drink with my friend they introduc me to a soundcloud rapper who was i don want to expos his name so i ll call him luke i was onli and was the youngest person there that night we were all drunk and i start to notic that luke kept on look at me he then pull out ecstasi pill out of his pocket and we all just said fuck it let do this i was a littl scare becaus i have never taken pill like this befor it was about am alreadi and i still haven gotten home we were all sit at the skatepark and luke told me to sit next to him so i did i began to feel his hand touch my thigh and my butt i knew exact what he was tri to do and i stood up to let him know that i didn want to do what he want i rememb feel realli so cold and want to hug him for some reason so i did the two of us went outsid the build and we were hug for a while he whisper into my ear that i was realli pretti and awesom i like hear that and i didn want to stop hug him i felt him get hard and he start to push my bodi closer to him to make sure i felt it he then whisper to me that we should get out of there to go somewher els privat i was realli dizzi and i could bare walk my friend were use to take pill but this was my first time so i was the onli one fuck up luke had his arm around me while we were all walk to the park he ask me question like do you have ani sibl and what are your plan later today i felt like he realli like me and he was much more matur than ani other guy i date we went behind a small sit area and he encourag me to give him a blow job i sure that it was the drug becaus i rememb feel so horni and i never realli had that feel befor i didn care that my other friend saw i just want him we left my friend and he took me to an indoor park lot we went behind the stair and he made me turn around and start to fuck me i rememb it hurt so much i didn expect for my first time to feel like this it was horribl
811,811,"Over and over again . Why when I say no,he says yes . ",1,1,,,,,,,,,,over and over again whi when i say no he say yes
812,812,"I met up with this guy at his place and we had consensual sex that night but in the morning, he pulled down my pants when I was still half asleep and penetrated from behind and came on my back. He got a napkin to wipe it off, I was barely conscious enough to put my pants back on, hoping he wouldn’t rip them off anymore, but he did it again within 2 minutes and penetrated the same way. I didn’t even register it as rape until a few hours later when I just had a really bad feeling about it. I told him that I was upset he woke me up to have “sex” when I was half asleep and he said “Sorry I won’t do it again.”",1,,,,,,,,,,1,i met up with this guy at his place and we had consensu sex that night but in the morn he pull down my pant when i was still half asleep and penetr from behind and came on my back he got a napkin to wipe it off i was bare conscious enough to put my pant back on hope he wouldn rip them off anymor but he did it again within minut and penetr the same way i didn even regist it as rape until a few hour later when i just had a realli bad feel about it i told him that i was upset he woke me up to have sex when i was half asleep and he said sorri i won do it again
813,813,"I was blacking out, but i specifically remember telling these two men I wasnt going anywhere with them. 
They mentioned a party, and I said ""where's the party? I have some friends""... 
One of them looked at me and said ""youre the party"". 
Next thing I know I feel someone pulling down my pants while I'm on the ground. The white guy was inside me (there was a black and a white male) ....
Its like the black guy was mentoring the white guy on how to do this... 

Next thing I know I hear them say ""someones watching""
I blacked out again. 
I stumble up, pull up my pants. I walk to the front of 7/11, and barely processing what happened. 
",1,,,,,,,,,,1,i was black out but i specif rememb tell these two men i wasnt go anywher with them they mention a parti and i said where the parti i have some friend one of them look at me and said your the parti next thing i know i feel someon pull down my pant while i on the ground the white guy was insid me there was a black and a white male it like the black guy was mentor the white guy on how to do this next thing i know i hear them say someon watch i black out again i stumbl up pull up my pant i walk to the front of and bare process what happen
814,814,"


I had spent the weekend with my friend. And we messed around with my husband on Sunday. When we got home, I smoked some weed, because facing him alone without something to help with my anxiety is a bad idea. And after kids were asleep I drank some and went to sleep.

He woke me up. 

I went back to sleep.

He woke me up. I needed to shower. I asked him to get me up to shower I guess? I think I did but honestly I'm no longer certain.

He got me in the shower. I remember the water, warm. I remember the tiles I was leaning against, cold. I think I remember him washing my hair? I can't be sure. I remember a hand ""washing"" my body. I remember being dizzy, almost passing out, bent over, then almost on the bottom of the tub because I couldn't stand anymore. I remember part of physical reaction that I hate. 

He told me we had sex in the shower the next day I think...and I was like... what shower?

And he told me ""i didn't mean to turn you on"" and ""I was just washing your body and then you got turned on"" and didn't see a problem when I pointed out how intoxicated I was, I could hardly walk down the hall.

",1,,,,,,,,,,1,i had spent the weekend with my friend and we mess around with my husband on sunday when we got home i smoke some weed becaus face him alon without someth to help with my anxieti is a bad idea and after kid were asleep i drank some and went to sleep he woke me up i went back to sleep he woke me up i need to shower i ask him to get me up to shower i guess i think i did but honest i no longer certain he got me in the shower i rememb the water warm i rememb the tile i was lean against cold i think i rememb him wash my hair i can be sure i rememb a hand wash my bodi i rememb be dizzi almost pass out bent over then almost on the bottom of the tub becaus i couldn stand anymor i rememb part of physic reaction that i hate he told me we had sex in the shower the next day i think and i was like what shower and he told me i didn mean to turn you on and i was just wash your bodi and then you got turn on and didn see a problem when i point out how intox i was i could hard walk down the hall
815,815,he told me she was orally raped when she was 18. 4 dudes pulled out a gun and told her to get in a cars and they took her to one of their apartments and told her to give all 4 of them oral sex. ,1,,1,,,,,1,,,,he told me she was oral rape when she was dude pull out a gun and told her to get in a car and they took her to one of their apart and told her to give all of them oral sex
816,816,"

I kicked and said “seriously stop.” “(His name) seriously I mean it stop” he pinned my hands down and countered everything I did. 
",1,1,,,,,,,,,,i kick and said serious stop his name serious i mean it stop he pin my hand down and counter everyth i did
817,817,". I did consent to sex, and loved giving him oral. He didn't force me at first, but then just shoved it in even though I told him to stop and was crying. It was a hookup and I feel I could've prevented it. I should've talked to him more and seen the red flags, but I was dumb and wanted to lose my virginity.
",1,1,,,,,,,,,,i did consent to sex and love give him oral he didn forc me at first but then just shove it in even though i told him to stop and was cri it was a hookup and i feel i could prevent it i should talk to him more and seen the red flag but i was dumb and want to lose my virgin
821,821," when it happened I was 14, a freshman in high school. It was January so it would start getting dark at like, 5. I had decided to stay after school to catch up with some friends who I hadn't seen for a while because they were in an extracurricular activity that took up all their time. The plan was I'd spend time with them then they'd take me home after rehearsal at 9, but when they were kind of just ignoring me the whole time which kinda hurt my feelings. So even though it was around 4:30 I told them I was going to go home because I suddenly didn't feel well. Nothing had ever happened to me when it was dark. Hell, when I was a kid id play with the other neighborhood kids when it was night time. I was never scared of being out when it was dark. 

I started walking away from the school with my earbuds in listening to music. The sidewalk was right next to a cemetery (my high school was literally across the street from a cemetery).After a minute I felt a tap on my shoulder. I turned around and saw this tall man who id never seen before. Before I could say anything he looked at his hand, so I looked and saw he had a knife. It wasn't like, a kitchen knife or anything but it was big enough that I was immediately scared. He said ""don't scream, and don't run. Don't do anything to make me hurt you. You understand?"" I just shook my head yes because I was scared to even speak. He put his arm around my shoulder and started walking me into the cemetery.

We were just walking for so long. I didn't realize how big it was, I had never been in there before. I was trying to decide if I should try to run, if I should say something. Wondering why he wasn't saying anything. All I was thinking was, I can't believe I'm getting robbed. 14year old me couldn't even fathom the thought that someone would ever rape me. We finally got to a thick, tall trees. He told me to stand in front of it so I did. He then got in my personal space, almost right in my face. He told me to take off my backpack and jacket. Which I had already assumed he would take. I was just nervous about him killing me afterwards. So I was shocked when he told me to take off my clothes. I was so taken back that the first words I nervously said were ""but I'll be cold"". I still have no idea why I said it. He immediately smacked me in the face and told me to take them off, more aggressively this time. I don't know if he was heavy handed or if it was because of the cold, but the smack stung so much more than I expected that I just did it. 

I did and I was shaking and had my arms crossed trying to keep myself warm. He then started trying to kiss me. I kept moving my head away from him. Squirming even though he had me trapped. He smacked me again even harder and told me to stop. So I did. I let him kiss me and it was awful. I still have trouble kissing, even with my fiance now. He started grinding up against my body. I didn't know why he was doing it, I just felt gross about it. After what felt like way too long he pulled me by the back of my head and pushed me to the ground. He immediately tried getting on top of me while I tried to get up and run. He had gotten me by the foot and dragged me closer to him. I started just randomly flailing and kicking and punching and accidentally hit him in the face. He REALLY didn't like that. He got me onto my back and smacked my face 5 times. Then he socked me in the stomach twice. I literally felt him punch all the air out of my body while he yelled ""stop fucking moving"" in my face angrily.i was struggling just to get air back into my body, I felt like I was gonna throw up. By the time I had somewhat recovered I realized he had my lower half pinned to the ground and both my wrists pinned to my side in one of his hands.

I started crying because it was the exact moment that I knew what he planned on doing to me. I had finally accepted that he had never intended on robbing me. He was gonna rape me and I had no idea what to do. I started trying to bargain with him since I was weak from getting punched. I said anything I could think of. Saying I had money and I'd pay him if he let me go. That he didn't have to do this and I wouldn't tell anyone. Saying I'd do something else for him, anything else, and wouldn't fight. But he just kept kissing my face, my neck, my chest, everywhere, while holding his knife to my neck. I started to just beg him not to. I hate how desperate I felt. To this day I can't handle feeling desperate. I'd rather struggle than beg for help because I begged my rapist to let me go. I just kept saying please, please let me go, please don't do this, please don't hurt me. Just pleading for nothing. 
",1,,1,,1,,,,,,,when it happen i was a freshman in high school it was januari so it would start get dark at like i had decid to stay after school to catch up with some friend who i hadn seen for a while becaus they were in an extracurricular activ that took up all their time the plan was i d spend time with them then they d take me home after rehears at but when they were kind of just ignor me the whole time which kinda hurt my feel so even though it was around i told them i was go to go home becaus i sudden didn feel well noth had ever happen to me when it was dark hell when i was a kid id play with the other neighborhood kid when it was night time i was never scare of be out when it was dark i start walk away from the school with my earbud in listen to music the sidewalk was right next to a cemeteri my high school was liter across the street from a cemeteri after a minut i felt a tap on my shoulder i turn around and saw this tall man who id never seen befor befor i could say anyth he look at his hand so i look and saw he had a knife it wasn like a kitchen knife or anyth but it was big enough that i was immedi scare he said don scream and don run don do anyth to make me hurt you you understand i just shook my head yes becaus i was scare to even speak he put his arm around my shoulder and start walk me into the cemeteri we were just walk for so long i didn realiz how big it was i had never been in there befor i was tri to decid if i should tri to run if i should say someth wonder whi he wasn say anyth all i was think was i can believ i get rob year old me couldn even fathom the thought that someon would ever rape me we final got to a thick tall tree he told me to stand in front of it so i did he then got in my person space almost right in my face he told me to take off my backpack and jacket which i had alreadi assum he would take i was just nervous about him kill me afterward so i was shock when he told me to take off my cloth i was so taken back that the first word i nervous said were but i ll be cold i still have no idea whi i said it he immedi smack me in the face and told me to take them off more aggress this time i don know if he was heavi hand or if it was becaus of the cold but the smack stung so much more than i expect that i just did it i did and i was shake and had my arm cross tri to keep myself warm he then start tri to kiss me i kept move my head away from him squirm even though he had me trap he smack me again even harder and told me to stop so i did i let him kiss me and it was aw i still have troubl kiss even with my fianc now he start grind up against my bodi i didn know whi he was do it i just felt gross about it after what felt like way too long he pull me by the back of my head and push me to the ground he immedi tri get on top of me while i tri to get up and run he had gotten me by the foot and drag me closer to him i start just random flail and kick and punch and accident hit him in the face he realli didn like that he got me onto my back and smack my face time then he sock me in the stomach twice i liter felt him punch all the air out of my bodi while he yell stop fuck move in my face angrili i was struggl just to get air back into my bodi i felt like i was gonna throw up by the time i had somewhat recov i realiz he had my lower half pin to the ground and both my wrist pin to my side in one of his hand i start cri becaus it was the exact moment that i knew what he plan on do to me i had final accept that he had never intend on rob me he was gonna rape me and i had no idea what to do i start tri to bargain with him sinc i was weak from get punch i said anyth i could think of say i had money and i d pay him if he let me go that he didn have to do this and i wouldn tell anyon say i d do someth els for him anyth els and wouldn fight but he just kept kiss my face my neck my chest everywher while hold his knife to my neck i start to just beg him not to i hate how desper i felt to this day i can handl feel desper i d rather struggl than beg for help becaus i beg my rapist to let me go i just kept say pleas pleas let me go pleas don do this pleas don hurt me just plead for noth
822,822," Last night, one of my close guy friends came over to hang out with me and my roommate. We all got really drunk and he was starting to get pushy. He was in the room with my roommate when I left to go get something from the kitchen. When I came back her door was locked. After she was asleep he kept trying to get me to come closer and cuddle with him. I was okay with it. I told him I didn't want to do it but he choked me, held me down and forced himself on me for hours while I told him to stop. When I woke up I felt okay but when I saw my best friend's face I could tell that we both knew what happened. ",1,1,,,,,,,,,,last night one of my close guy friend came over to hang out with me and my roommat we all got realli drunk and he was start to get pushi he was in the room with my roommat when i left to go get someth from the kitchen when i came back her door was lock after she was asleep he kept tri to get me to come closer and cuddl with him i was okay with it i told him i didn want to do it but he choke me held me down and forc himself on me for hour while i told him to stop when i woke up i felt okay but when i saw my best friend face i could tell that we both knew what happen
823,823,"When I just turned 16 and loved training for basketball. Thought I could play in the nba as many kids believe they can. I was running at a local park that has an exorbitant amount of steps to climb. There a bench half way up for people to rest. Two men sitting on the bench tripped me and began beating the shit out of me. I was scared to death. Had never even been in a fight before. Two grown man kicking the shit out of me. After the beating one of the guys made me perform oral sex on him. He didn’t have to force me because I was already beaten to a pulp and scared I would get killed if I didn’t. Even though it’s been 25 years I still can smell him and taste him in my mouth. It makes me want to vomit. I feel like I’m not a real man and do not deserve my wife and kids. The two men also took turns penetrating me from behind. It was more painful than the beating. I bled anally for close to a month. After they were finished and I had their semen all over me, I was finally let go. I could barely walk because of the pain. ",1,,,,1,,,1,,1,,when i just turn and love train for basketbal thought i could play in the nba as mani kid believ they can i was run at a local park that has an exorbit amount of step to climb there a bench half way up for peopl to rest two men sit on the bench trip me and began beat the shit out of me i was scare to death had never even been in a fight befor two grown man kick the shit out of me after the beat one of the guy made me perform oral sex on him he didn have to forc me becaus i was alreadi beaten to a pulp and scare i would get kill if i didn even though it been year i still can smell him and tast him in my mouth it make me want to vomit i feel like i not a real man and do not deserv my wife and kid the two men also took turn penetr me from behind it was more pain than the beat i bled anal for close to a month after they were finish and i had their semen all over me i was final let go i could bare walk becaus of the pain
824,824,"During morning, a woman was walking by and thin guy came around and called her names , and commented on her figure . The woman handled him and abused .",0,,,,,,,,,,,dure morn a woman was walk by and thin guy came around and call her name and comment on her figur the woman handl him and abus
825,825,This happened to a fellow passenger of mine travelling in the metro. He was kicked out of the metro station because he was quotdifferentlyquot dressed.,0,,,,,,,,,,,this happen to a fellow passeng of mine travel in the metro he was kick out of the metro station becaus he was quotdifferentlyquot dress
826,826,ogling,0,,,,,,,,,,,ogl
827,827,I was travelling in DTC bus in evening.A boy was intentionally falling on a girl standing behind him.I reported it to the conductor but he did nothing and said that it was just a mistake.DTC buses are totally unsafe for girls.,0,,,,,,,,,,,i was travel in dtc bus in even a boy was intent fall on a girl stand behind him i report it to the conductor but he did noth and said that it was just a mistak dtc buse are total unsaf for girl
828,828,"When i was coming back from shopping, i noticed a guy who was behind me from quite some time and what scared me is he followed me till my house.",0,,,,,,,,,,,when i was come back from shop i notic a guy who was behind me from quit some time and what scare me is he follow me till my hous
829,829,some boys in the shop stares and whistle at girls,0,,,,,,,,,,,some boy in the shop stare and whistl at girl
830,830,group of boys were commenting me on my way to home,0,,,,,,,,,,,group of boy were comment me on my way to home
831,831,"I was walking down the street in a residential area adjacent to the Kailash Colony market around 630/7pm (starting to get dark) when suddenly I realized I was being follow by someone. I looked back and there was a guy walking behind me saying, I want to fuck you, I want to fuck you. I walked very fast towards a more crowded area (the round about in Kailash Colony market) and thankfully got to the safety of my car in time. The incident created fear and I try no to walk in non market areas in Delhi.",0,,,,,,,,,,,i was walk down the street in a residenti area adjac to the kailash coloni market around pm start to get dark when sudden i realiz i was be follow by someon i look back and there was a guy walk behind me say i want to fuck you i want to fuck you i walk veri fast toward a more crowd area the round about in kailash coloni market and thank got to the safeti of my car in time the incid creat fear and i tri no to walk in non market area in delhi
832,832,A lady was wearing a top blouse and a stocking walking by the road. Two men mocked her tat her buttocks are like six inches matress. The lady did not talk just looked at them with sided eyes and walked on.,0,,,,,,,,,,,a ladi was wear a top blous and a stock walk by the road two men mock her tat her buttock are like six inch matress the ladi did not talk just look at them with side eye and walk on
833,833,stalked by watchman of my colony,0,,,,,,,,,,,stalk by watchman of my coloni
834,834,"boys commenting, all the time!",0,,,,,,,,,,,boy comment all the time
835,835,Once in my computer classs a senior tried to dope me,0,,,,,,,,,,,onc in my comput classs a senior tri to dope me
836,836,"On my way to my coaching, a person constantly stalked me everyday for over a month.",0,,,,,,,,,,,on my way to my coach a person constant stalk me everyday for over a month
837,837,when we walk they look at our butocks and say that quottumetosha mbogaquot,0,,,,,,,,,,,when we walk they look at our butock and say that quottumetosha mbogaquot
838,838,A man was following me during afternoon around 1230 pm.,0,,,,,,,,,,,a man was follow me dure afternoon around pm
839,839,it happened for quite a few days when i got down from the bus in worli close by to my house,0,,,,,,,,,,,it happen for quit a few day when i got down from the bus in wor close by to my hous
840,840,"It happened amongst three children who were to be brothers and sister(cousins) while playing in the room the two boys came to an agreement to make love to the girl.Before the girl could realise ,she had the two guys making love to her.",0,,,,,,,,,,,it happen amongst three children who were to be brother and sister cousin while play in the room the two boy came to an agreement to make love to the girl befor the girl could realis she had the two guy make love to her
841,841,a drunk man kept following a student asking her for her phone number. He kept shouting to her saying that shez very hot,0,,,,,,,,,,,a drunk man kept follow a student ask her for her phone number he kept shout to her say that shez veri hot
842,842,"I was at Toi market, some mitumba sellers started taking pictures of me without my permission, then they started commenting on me that if someone maries me he will be the richest man on earth.",0,,,,,,,,,,,i was at toi market some mitumba seller start take pictur of me without my permiss then they start comment on me that if someon mari me he will be the richest man on earth
843,843,"During afternoon , a guy passed whistling very loudly .",0,,,,,,,,,,,dure afternoon a guy pass whistl veri loud
844,844,I was approached by a stranger I told him off and he told me that my beauty wil fade away after I refused to talk to him,0,,,,,,,,,,,i was approach by a stranger i told him off and he told me that my beauti wil fade away after i refus to talk to him
845,845,"in a local train, when the train stopped at a station, a group of guys entered and there was this girl standing alone. So they started commenting and staring at the girl themselves. The girl didn't feel comfortable.",0,,,,,,,,,,,in a local train when the train stop at a station a group of guy enter and there was this girl stand alon so they start comment and stare at the girl themselv the girl didn feel comfort
846,846,whistling on girls. This is at Panvel near colleges.,0,,,,,,,,,,,whistl on girl this is at panvel near colleg
847,847,This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,0,,,,,,,,,,,this survey is carri out by safec red dot foundat along with it safec audit at street market in mumbai
848,848,Catcalls and commenting in the night.,0,,,,,,,,,,,catcal and comment in the night
849,849,a girl was teased by a boy and he was showing some facial expression to the girl.,0,,,,,,,,,,,a girl was teas by a boy and he was show some facial express to the girl
850,850,Person stalking in a car.,0,,,,,,,,,,,person stalk in a car
851,851,"I was going home from college with my friend on rickshaw,a guy was in a car on the other side of the road was stalking and passing comments and giving ugly expressions to us.He stalked us until we reached the metro station.",0,,,,,,,,,,,i was go home from colleg with my friend on rickshaw a guy was in a car on the other side of the road was stalk and pass comment and give ugli express to us he stalk us until we reach the metro station
852,852,THEFT. EVE TEASING. REMARKS. OGLING AND FACIAL EXPRESSIONS. DATE AND TIME NOT SPECIFIED.,0,,,,,,,,,,,theft eve teas remark ogl and facial express date and time not specifi
853,853,everywhere,0,,,,,,,,,,,everywher
854,854,while returning from school i was on phone with my fren.. few guys start teasing me and commenting on me. i have to hang up the ph and run frm ther,0,,,,,,,,,,,while return from school i was on phone with my fren few guy start teas me and comment on me i have to hang up the ph and run frm ther
855,855,some boys in a pvt bus pass comment to a girl.,0,,,,,,,,,,,some boy in a pvt bus pass comment to a girl
856,856,In evening it happened,0,,,,,,,,,,,in even it happen
857,857,this happened in shiv vihar. i had gone to the market late in the evening. the shopkeeper first spoke to me about the weather and then he started talking dirty with me.,0,,,,,,,,,,,this happen in shiv vihar i had gone to the market late in the even the shopkeep first spoke to me about the weather and then he start talk dirti with me
858,858,Lewd Comments passed by lofar people.,0,,,,,,,,,,,lewd comment pass by lofar peopl
859,859,commenting,0,,,,,,,,,,,comment
860,860,A person was making wierd faces in front of a girl on the Bus stop. afternoon 1 pm,0,,,,,,,,,,,a person was make wierd face in front of a girl on the bus stop afternoon pm
861,861,I was waiting for my friend on the street and a man was staring at me and giving uncomfortable looks,0,,,,,,,,,,,i was wait for my friend on the street and a man was stare at me and give uncomfort look
862,862,"I was going home,suddenly I heard a call and did not pay attention or stop but the boy kept following me and started insulting me.",0,,,,,,,,,,,i was go home sudden i heard a call and did not pay attent or stop but the boy kept follow me and start insult me
863,863,I boarded a matatu from Makina to Olympic with a yoiung lady dressed in a mini skirt. The tout together with other guys at the matatu door started talking about her describing how well she is made,0,,,,,,,,,,,i board a matatu from makina to olymp with a yoiung ladi dress in a mini skirt the tout togeth with other guy at the matatu door start talk about her describ how well she is made
864,864,I saw two boys on the bike who were commenting and whistling on a girl walking by in the evening.,0,,,,,,,,,,,i saw two boy on the bike who were comment and whistl on a girl walk by in the even
865,865,"On the way to my school there is a allay where group of boys sit and comment, tease every girls who pass by the area. Once I was also teased in the same place by same group of boys. I shared it with my parents.",0,,,,,,,,,,,on the way to my school there is a allay where group of boy sit and comment teas everi girl who pass by the area onc i was also teas in the same place by same group of boy i share it with my parent
866,866,"When i was crossing the road, i was on a call and my cell phone got snatched by a bike driver.",0,,,,,,,,,,,when i was cross the road i was on a call and my cell phone got snatch by a bike driver
867,867,I saw a woman being whistled at by some idle men,0,,,,,,,,,,,i saw a woman be whistl at by some idl men
868,868,"During night , a guy while passing a lady snatched her chain and ran away , he joined a guy on the bike and ran away.",0,,,,,,,,,,,dure night a guy while pass a ladi snatch her chain and ran away he join a guy on the bike and ran away
869,869,I was followed by some boys while returning from the college. The passage was quite. It sacred me as they started giving me voice too. I walked fast and went to the area where there were many people. Then they stopped following me.,0,,,,,,,,,,,i was follow by some boy while return from the colleg the passag was quit it sacr me as they start give me voic too i walk fast and went to the area where there were mani peopl then they stop follow me
870,870,"it was in the mornin, was coming from Church around 530 am in woodley when we met thugs. They told us to lie down after stealing from us one of them put his fingers on my vagina trying to remoive my trouser down. Lucky enough, I was wearing a tight fitting one and so did not manage to removeit since he was in a hurry.",0,,,,,,,,,,,it was in the mornin was come from church around am in woodley when we met thug they told us to lie down after steal from us one of them put his finger on my vagina tri to remoiv my trouser down lucki enough i was wear a tight fit one and so did not manag to removeit sinc he was in a hurri
871,871,"This episode happened recently to one of my friend who stays in this area. She along with one more friend was travelling in a rickshaw to the market. she was too busy chatting with her friend that she didnt even realise the surroundings.suddenly when the rickshaw was about to left turn two men in high speed came near the richshaw, before the rickshaw man could use the brake the men snacthed the chain of my friend and ran away. In that jerk the richshaw tumbled down and she got hurt in her knees and elbow and also her back neck as the snacthers pulled the chain forcefully. no one came to help,even thou there were passer bys.",0,,,,,,,,,,,this episod happen recent to one of my friend who stay in this area she along with one more friend was travel in a rickshaw to the market she was too busi chat with her friend that she didnt even realis the surround sudden when the rickshaw was about to left turn two men in high speed came near the richshaw befor the rickshaw man could use the brake the men snacth the chain of my friend and ran away in that jerk the richshaw tumbl down and she got hurt in her knee and elbow and also her back neck as the snacther pull the chain forc no one came to help even thou there were passer bys
872,872,"Some boys were commenting and stalking girls, and wee also taking snaps , or photos",0,,,,,,,,,,,some boy were comment and stalk girl and wee also take snap or photo
873,873,harassment,0,,,,,,,,,,,harass
874,874,Stalking,0,,,,,,,,,,,stalk
875,875,"In central park,an old man was taking pictures of my body.It happened around 530pm.",0,,,,,,,,,,,in central park an old man was take pictur of my bodi it happen around pm
876,876,indecent remarks,0,,,,,,,,,,,indec remark
877,877,it was morning time while i was gong to shopping store 2 boys walking through the same way commented me with the colour of my jacket it was uncomfortable to hear such comments,0,,,,,,,,,,,it was morn time while i was gong to shop store boy walk through the same way comment me with the colour of my jacket it was uncomfort to hear such comment
878,878,two men catcalled at a few of my friends. we ignored them and walked ahead but they followed us to a certain distance before going away.,0,,,,,,,,,,,two men catcal at a few of my friend we ignor them and walk ahead but they follow us to a certain distanc befor go away
879,879,There was a guy who was constantly commenting a girl who got scared and frightened . It happened during evening .,0,,,,,,,,,,,there was a guy who was constant comment a girl who got scare and frighten it happen dure even
880,880,the boys sitting in car clicking the pictures of girls without informing them..,0,,,,,,,,,,,the boy sit in car click the pictur of girl without inform them
881,881,"i was going back home at night, and a boy on the metro station was whistling",0,,,,,,,,,,,i was go back home at night and a boy on the metro station was whistl
882,882,We do not have toilet in our house. We usually access the public toilet complex. The toilet is usually surrounded by a group of boys and they pass comments.It happened at all hours of the day.,0,,,,,,,,,,,we do not have toilet in our hous we usual access the public toilet complex the toilet is usual surround by a group of boy and they pass comment it happen at all hour of the day
883,883,they coment on our fashion,0,,,,,,,,,,,they coment on our fashion
884,884,I was stalked and the person wanted to have my phone number,0,,,,,,,,,,,i was stalk and the person want to have my phone number
885,885,man abused me,0,,,,,,,,,,,man abus me
886,886,BOys were commenting and shouting on me,0,,,,,,,,,,,boy were comment and shout on me
887,887,calling,0,,,,,,,,,,,call
888,888,once i off to the market to buy stuff when i sensed someone following me i found a guy secretly following me and whenever i look at him he would pretend using his phone then i had to take an alternate route.,0,,,,,,,,,,,onc i off to the market to buy stuff when i sens someon follow me i found a guy secret follow me and whenev i look at him he would pretend use his phone then i had to take an altern rout
889,889,Age 16 yearsType of harassmentCatcalls at Hemis village in 2016 during kachos (sermon) (day time),0,,,,,,,,,,,age yearstyp of harassmentcatcal at hemi villag in dure kacho sermon day time
890,890,I was waiting for my friend to come back from a shop. Soon a man started doing something unusual and was literally making me feel uncomfortable.,0,,,,,,,,,,,i was wait for my friend to come back from a shop soon a man start do someth unusu and was liter make me feel uncomfort
891,891,The street light and electricity system in the area is pathetic. Power cuts and faulty street light have always been a problem for us.,0,,,,,,,,,,,the street light and electr system in the area is pathet power cut and faulti street light have alway been a problem for us
892,892,"commenting by local boys on dress up, one make up on accessories. those activities really pissed up and ruin our day",0,,,,,,,,,,,comment by local boy on dress up one make up on accessori those activ realli piss up and ruin our day
893,893,I was walking at kisumu ndogo and some men who usually idle besids the railway line were string at me and this made me uncomfortable,0,,,,,,,,,,,i was walk at kisumu ndogo and some men who usual idl besid the railway line were string at me and this made me uncomfort
894,894,A man lifted his shirt and flashed me.,0,,,,,,,,,,,a man lift his shirt and flash me
895,895,"I was walking by the roadside when a man whistled and when I looked he showed me his tongue, I clicked at him and continued walking",0,,,,,,,,,,,i was walk by the roadsid when a man whistl and when i look he show me his tongu i click at him and continu walk
896,896,when my sister was coming from college. some boys followed her. She got so scared that she called our dad to receive her.,0,,,,,,,,,,,when my sister was come from colleg some boy follow her she got so scare that she call our dad to receiv her
897,897,my friend was teased by unknown person.,0,,,,,,,,,,,my friend was teas by unknown person
898,898,"I was married a year ago, and my husband had an extra marital affair. I got to know this from his mobile, and it was confirmed within few days he is having an affair. Within few days he left me, and I was pregnant. I aborted the child, now on the verge of divorce",0,,,,,,,,,,,i was marri a year ago and my husband had an extra marit affair i got to know this from his mobil and it was confirm within few day he is have an affair within few day he left me and i was pregnant i abort the child now on the verg of divorc
899,899,"My friends and I were at Crawford Market and my friend noticed a guy clicking pictures. She told me and I went up to him, asked him to delete the pictures. I took the camera from him and deleted the pictures.",0,,,,,,,,,,,my friend and i were at crawford market and my friend notic a guy click pictur she told me and i went up to him ask him to delet the pictur i took the camera from him and delet the pictur
900,900,teacher beats pupils,0,,,,,,,,,,,teacher beat pupil
901,901,i was followed by a man on my way home from the market,0,,,,,,,,,,,i was follow by a man on my way home from the market
